timestamp,Altitude (GPS),Average speed,Average speed (GPS),Barometric pressure,Calculated boost,Calculated engine load value,Calculated instant fuel rate,Distance traveled with MIL on,Distance travelled,Distance travelled (total),Engine RPM,Engine RPM x1000,Engine coolant temperature,Fuel rail press.,Fuel used,Fuel used (total),Fuel used price,Fuel used price (total),Instant engine power (based on fuel consumption),Intake air temperature,Intake manifold absolute pressure,MAF air flow rate,OBD Module Voltage,Power from MAF,Speed (GPS),Vehicle acceleration,Vehicle speed,LATITUDE,LONGITUDE
2025-10-17 00:00:00.000,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0157822,77.5656214
2025-10-17 00:00:00.008,874.299987792969,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.009,874.299987792969,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,874.299987792969,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,874.299987792969,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0157822,77.5656214
2025-10-17 00:00:04.772,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.772,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13.0157822,77.5656214
